user_id,movie_id,recommendation_date,recommendation_type,recommendation_score,position_in_list
user_06326,movie_0771,2025-07-03,new_releases,,10
user_02180,movie_0985,2024-11-07,genre_based,0.916,9
user_03535,movie_0834,2024-08-22,personalized,0.816,2
user_05025,movie_0718,2024-04-12,trending,0.771,16
user_06794,movie_0718,2025-10-30,similar_users,0.251,9
user_03345,movie_0346,2024-09-01,personalized,0.975,13
user_01519,movie_0264,2024-06-28,similar_users,0.722,20
user_03328,movie_0385,2024-10-09,personalized,0.755,11
user_04944,movie_0957,2025-11-13,new_releases,0.59,14
user_07953,movie_0815,2025-02-08,personalized,,13
user_00713,movie_0578,2025-09-19,personalized,0.496,3
user_06987,movie_0779,2024-08-21,genre_based,0.231,19
user_04332,movie_0760,2025-03-19,trending,0.23,14
user_09265,movie_0049,2025-07-01,genre_based,0.426,15
user_02626,movie_0422,2024-02-06,new_releases,0.218,20
user_05233,movie_0446,2025-06-14,similar_users,0.2,5
user_08586,movie_0738,2025-03-18,similar_users,0.963,9
user_06771,movie_0246,2025-11-09,trending,0.76,6
user_08374,movie_0793,2025-06-14,personalized,0.931,1
user_02188,movie_0077,2025-03-08,genre_based,0.622,19
user_03307,movie_0087,2025-04-13,personalized,,15
user_02648,movie_0160,2024-05-25,trending,0.126,16
user_06640,movie_0938,2025-08-31,similar_users,0.747,15
user_05145,movie_0018,2024-04-27,personalized,0.53,4
user_02886,movie_0535,2025-01-17,similar_users,0.25,2
user_07909,movie_0354,2025-04-20,new_releases,0.967,16
user_01828,movie_0570,2025-12-05,trending,0.151,5
user_09984,movie_0330,2025-04-10,personalized,0.757,14
user_01745,movie_0939,2025-04-28,genre_based,0.486,15
user_01099,movie_0409,2025-12-11,new_releases,0.56,1
user_09940,movie_0067,2025-02-25,similar_users,0.154,11
user_04183,movie_0267,2024-05-26,similar_users,0.222,3
user_02018,movie_0987,2025-10-11,personalized,0.647,8
user_05197,movie_0596,2025-10-01,personalized,0.707,5
user_08425,movie_0777,2025-01-28,personalized,0.337,7
user_01418,movie_0505,2024-12-23,similar_users,0.456,2
user_05357,movie_0461,2024-10-16,similar_users,0.297,10
user_01533,movie_0077,2024-05-11,personalized,0.517,15
user_03034,movie_0574,2024-10-17,personalized,0.401,3
user_09111,movie_0008,2025-02-16,similar_users,0.609,20
user_07438,movie_0006,2024-06-04,similar_users,0.742,19
user_08573,movie_0391,2025-12-14,genre_based,0.396,2
user_06750,movie_0477,2025-09-01,trending,0.12,12
user_04205,movie_0820,2025-02-03,similar_users,0.458,8
user_03475,movie_0877,2024-03-01,genre_based,0.918,1
user_08399,movie_0268,2024-06-18,new_releases,0.778,9
user_05979,movie_0050,2024-06-19,new_releases,,6
user_00903,movie_0677,2025-12-07,trending,0.99,20
user_06636,movie_0394,2024-05-04,trending,0.165,16
user_03822,movie_0162,2025-02-08,trending,0.806,10
user_07611,movie_0951,2024-12-11,trending,0.79,12
user_08518,movie_0248,2025-11-29,similar_users,0.406,8
user_01320,movie_0146,2024-06-06,genre_based,0.857,20
user_08822,movie_0043,2025-09-14,genre_based,0.54,16
user_03772,movie_0587,2024-12-17,new_releases,0.14,9
user_03698,movie_0342,2025-11-14,trending,0.781,10
user_00289,movie_0619,2025-02-06,trending,0.7,2
user_09102,movie_0502,2024-05-05,similar_users,0.58,9
user_09654,movie_0693,2025-08-20,new_releases,0.256,15
user_03401,movie_0047,2025-05-31,new_releases,,20
user_02335,movie_0854,2024-01-26,similar_users,0.956,13
user_09065,movie_1000,2024-06-18,trending,0.859,19
user_03632,movie_0060,2024-09-24,similar_users,0.225,16
user_09142,movie_0569,2025-04-28,trending,0.83,13
user_09569,movie_0124,2024-03-30,trending,0.399,20
user_09893,movie_0738,2025-12-06,personalized,0.246,11
user_09088,movie_0140,2025-05-15,genre_based,0.365,6
user_02835,movie_0318,2024-04-17,genre_based,0.583,8
user_03265,movie_0172,2024-06-03,trending,0.77,9
user_04922,movie_0931,2024-12-13,personalized,0.261,10
user_00588,movie_0003,2024-12-19,trending,0.285,1
user_05256,movie_0077,2024-07-04,trending,0.336,7
user_06552,movie_0652,2025-12-29,trending,0.538,13
user_05473,movie_0459,2025-01-30,new_releases,0.795,15
user_00106,movie_0575,2025-05-29,genre_based,0.734,16
user_04204,movie_0988,2025-04-20,new_releases,0.125,4
user_02645,movie_0255,2025-08-18,trending,,14
user_06262,movie_0480,2025-12-25,new_releases,0.777,11
user_04062,movie_0380,2025-07-18,genre_based,0.515,13
user_04633,movie_0683,2025-10-28,genre_based,0.328,9
user_02077,movie_0498,2025-10-17,new_releases,0.526,13
user_05215,movie_0945,2024-07-13,trending,0.983,13
user_07421,movie_0188,2025-09-24,genre_based,0.677,13
user_06240,movie_0505,2025-06-19,personalized,0.891,18
user_08943,movie_0703,2024-10-09,personalized,0.219,10
user_07574,movie_0680,2025-10-16,trending,0.218,13
user_05539,movie_0062,2024-07-10,personalized,0.59,20
user_00792,movie_0313,2024-09-04,personalized,0.776,1
user_05535,movie_0455,2024-09-15,similar_users,0.184,4
user_05562,movie_0558,2024-12-28,new_releases,0.978,19
user_07951,movie_0624,2024-06-13,similar_users,0.534,12
user_01676,movie_0886,2024-06-10,new_releases,0.392,1
user_07553,movie_0204,2024-05-30,trending,0.736,5
user_01451,movie_0703,2025-10-30,genre_based,0.4,15
user_05463,movie_0373,2025-10-28,similar_users,0.943,18
user_07168,movie_0395,2024-02-28,new_releases,0.884,5
user_02431,movie_0596,2025-02-20,genre_based,0.442,4
user_03196,movie_0540,2025-10-28,genre_based,0.747,7
user_08274,movie_0355,2024-01-23,genre_based,0.188,9
user_02384,movie_0448,2025-11-22,trending,0.908,4
user_08014,movie_0503,2024-05-12,similar_users,0.17,3
user_08634,movie_0359,2025-12-14,genre_based,0.725,5
user_01133,movie_0953,2024-03-11,genre_based,0.7,15
user_06006,movie_0937,2024-03-18,similar_users,0.373,12
user_07391,movie_0233,2025-09-15,similar_users,0.621,7
user_05205,movie_0216,2025-03-11,trending,0.615,1
user_04009,movie_0662,2025-10-02,genre_based,,6
user_01685,movie_0729,2025-11-22,trending,0.599,9
user_03551,movie_0768,2024-11-10,similar_users,0.973,17
user_02755,movie_0378,2025-07-03,genre_based,0.291,20
user_06024,movie_0944,2025-08-07,genre_based,0.14,18
user_02625,movie_0338,2025-10-06,new_releases,0.311,9
user_01359,movie_0371,2025-11-26,personalized,0.745,7
user_07850,movie_0535,2025-01-30,new_releases,0.144,7
user_01271,movie_0462,2025-07-12,new_releases,0.631,19
user_04400,movie_0145,2024-10-19,trending,0.832,4
user_05081,movie_0369,2024-10-18,genre_based,0.896,12
user_05300,movie_0704,2024-12-18,trending,0.612,1
user_03727,movie_0131,2024-12-03,new_releases,0.931,16
user_01117,movie_0341,2024-08-20,trending,0.942,13
user_05961,movie_0563,2024-01-02,personalized,0.497,8
user_08887,movie_0570,2025-11-01,genre_based,0.244,12
user_02613,movie_0862,2025-10-11,similar_users,0.733,9
user_07770,movie_0673,2025-02-14,trending,0.966,14
user_09925,movie_0424,2024-11-21,genre_based,0.906,11
user_05104,movie_0280,2024-02-24,genre_based,0.845,15
user_05665,movie_0676,2024-04-26,new_releases,,9
user_01081,movie_0240,2024-01-19,trending,0.944,17
user_04099,movie_0150,2025-01-10,personalized,0.639,15
user_06284,movie_0096,2024-10-25,personalized,0.887,2
user_02788,movie_0283,2024-05-09,new_releases,0.424,16
user_01157,movie_0389,2025-12-01,similar_users,0.258,12
user_09247,movie_0001,2024-02-05,new_releases,0.996,4
user_01891,movie_0646,2025-03-09,trending,0.77,4
user_02784,movie_0415,2025-01-24,genre_based,0.175,16
user_01555,movie_0301,2025-10-28,similar_users,0.38,1
user_09836,movie_0129,2024-07-03,personalized,0.852,4
user_05752,movie_0195,2025-09-27,similar_users,0.903,5
user_06318,movie_0095,2024-12-23,personalized,0.238,3
user_06700,movie_0495,2025-07-26,new_releases,0.692,10
user_01934,movie_0757,2024-11-05,similar_users,0.598,10
user_04210,movie_0591,2025-05-11,personalized,0.266,13
user_06470,movie_0253,2025-01-21,trending,0.788,14
user_06068,movie_0407,2025-06-29,similar_users,0.672,18
user_05841,movie_0723,2024-01-29,personalized,0.579,12
user_04400,movie_0227,2024-08-03,trending,0.932,14
user_04280,movie_0140,2025-09-25,similar_users,0.545,20
user_05679,movie_0802,2025-08-14,personalized,,8
user_06628,movie_0893,2024-07-23,genre_based,,14
user_03231,movie_0086,2024-09-30,new_releases,0.732,8
user_09918,movie_0067,2024-08-05,similar_users,0.672,14
