user_id,movie_id,rating,review_date,device_type,is_verified_watch,sentiment_score
user_07066,movie_0360,4,2025-03-29,Mobile,0,0.711
user_02953,movie_0095,5,2024-07-19,Mobile,1,0.645
user_05528,movie_0518,4,2025-02-11,Tablet,1,0.73
user_07612,movie_0672,5,2025-11-26,Mobile,1,0.798
user_03424,movie_0580,3,2025-07-11,Mobile,1,0.41
user_07263,movie_0708,3,2025-01-06,Tablet,1,
user_07818,movie_0081,2,2025-01-18,Smart TV,1,0.106
user_03744,movie_0526,1,2025-09-26,Smart TV,1,0.251
user_04454,movie_0551,4,2024-02-02,Mobile,1,0.737
user_02897,movie_0800,3,2025-03-22,Tablet,1,0.451
user_03810,movie_0072,1,2025-01-14,Tablet,1,0.195
user_05988,movie_0705,5,2024-05-29,Smart TV,1,0.876
user_05899,movie_0756,3,2024-08-10,Mobile,1,0.597
user_09390,movie_0167,3,2025-02-08,Laptop,1,0.573
user_03348,movie_0168,3,2025-08-16,Smart TV,1,0.418
user_05227,movie_0795,5,2025-06-26,Laptop,1,0.83
user_03773,movie_0617,3,2025-04-22,Laptop,0,0.534
user_06318,movie_0884,4,2024-04-14,Tablet,1,0.817
user_01737,movie_0844,2,2025-10-07,Mobile,1,0.114
user_03823,movie_0239,2,2025-09-07,Mobile,1,0.29
user_05692,movie_0302,3,2024-01-28,Tablet,1,0.505
user_08264,movie_0316,4,2024-08-12,Tablet,1,0.901
user_02227,movie_0695,5,2024-02-21,Laptop,1,0.98
user_00469,movie_0520,4,2025-06-24,Smart TV,0,0.891
user_05895,movie_0483,3,2025-02-01,Smart TV,1,0.464
user_01426,movie_0956,4,2024-07-05,Laptop,0,0.968
user_04616,movie_0664,4,2024-04-04,Laptop,1,0.93
user_07133,movie_0076,4,2025-08-06,Tablet,1,0.923
user_09189,movie_0968,4,2025-07-20,Tablet,1,0.912
user_00732,movie_0578,5,2025-09-30,Smart TV,0,0.847
user_05960,movie_0064,4,2024-07-22,Tablet,1,0.803
user_08860,movie_0293,4,2024-11-25,Mobile,1,0.797
user_08495,movie_0118,4,2025-05-09,Laptop,1,0.766
user_09677,movie_0253,3,2025-04-24,Mobile,1,0.428
user_09061,movie_0460,5,2025-05-11,Mobile,0,
user_09396,movie_0518,5,2024-03-13,Laptop,1,0.676
user_07561,movie_0473,4,2024-07-07,Mobile,0,0.826
user_00615,movie_0069,2,2024-03-31,Smart TV,1,0.149
user_04048,movie_0663,2,2024-06-07,Smart TV,1,0.041
user_05154,movie_0209,3,2024-07-23,Tablet,1,0.577
user_08556,movie_0702,5,2024-09-30,Laptop,0,0.885
user_00162,movie_0091,5,2024-07-22,Smart TV,0,0.84
user_02521,movie_0897,4,2024-06-07,Mobile,1,0.652
user_07498,movie_0576,4,2025-09-13,Laptop,0,0.825
user_06476,movie_0376,5,2024-01-03,Mobile,1,0.782
user_05756,movie_0554,3,2024-08-29,Mobile,1,
user_04400,movie_0668,4,2024-10-26,Laptop,1,0.883
user_07143,movie_0884,3,2024-01-20,Laptop,1,0.58
user_09574,movie_0747,4,2024-10-14,Smart TV,1,0.999
user_06877,movie_0732,3,2024-10-11,Mobile,1,0.543
user_05377,movie_0238,2,2025-11-18,Laptop,1,
user_09084,movie_0331,4,2025-01-19,Mobile,1,
user_08152,movie_0364,1,2025-05-23,Smart TV,1,0.357
user_06649,movie_0783,4,2024-11-03,Smart TV,1,0.71
user_06173,movie_0728,2,2024-12-15,Laptop,1,0.004
