user_id,search_query,search_date,results_returned,used_filters
user_09864,classic movies,2024-03-22,20,0
user_08038,stand up comedy,2025-11-22,24,0
user_02009,music documentaries,2024-10-09,86,0
user_01083,comedy shows,2024-12-14,70,0
user_04269,movies based on true stories,2025-01-10,48,0
user_03478,thriller series,2024-09-18,76,1
user_03800,travel documentaries,2025-10-03,70,0
user_00191,superhero movies,2024-05-24,50,1
user_03999,biographies,2025-07-18,7,0
user_06785,movies based on true stories,2025-04-09,31,0
user_04781,biographies,2024-06-17,28,0
user_06311,action movies,2024-09-06,56,0
user_03850,new releases,2025-03-22,12,1
user_00610,halloween movies,2024-12-31,78,0
user_07791,war movies,2024-06-04,28,0
user_06185,stand up comedy,2024-11-07,95,0
user_01060,romantic comedies,2024-02-27,64,0
user_04897,documentaries,2025-02-24,61,1
user_04549,family movies,2025-02-15,25,1
user_03172,superhero movies,2024-11-05,65,0
user_06470,cooking shows,2025-03-12,12,0
user_00479,biographies,2025-04-14,50,0
user_09719,documentaries,2024-05-21,100,1
user_01317,new releases,2025-12-04,16,1
user_03286,superhero movies,2024-03-09,62,0
user_08165,superhero movies,2025-07-25,14,0
user_01208,christmas movies,2024-10-05,8,1
user_05349,netflix originals,2024-06-13,79,0
user_09492,shows with strong female leads,2024-04-09,41,1
user_08098,animated shows,2025-01-17,58,0
user_01890,action movies,2025-02-27,87,1
user_00199,new releases,2024-11-16,44,0
user_02501,biographies,2025-08-17,99,0
user_09443,cooking shows,2024-07-13,100,0
user_00769,new releases,2025-07-24,19,0
user_04884,comedy shows,2025-08-28,68,0
user_09777,classic movies,2025-12-29,61,1
user_06921,movies based on true stories,2024-03-05,91,1
user_08354,halloween movies,2024-04-15,41,0
user_01502,travel documentaries,2025-02-07,37,0
user_00440,thriller series,2025-05-06,20,1
user_08198,horror movies,2024-05-27,86,0
user_02701,best movies 2024,2024-09-09,81,0
user_09465,music documentaries,2024-08-11,99,0
user_05142,netflix originals,2025-12-30,91,0
user_03457,thriller series,2024-11-09,7,0
user_08629,true crime,2024-10-05,40,1
user_02147,comedy shows,2024-02-06,8,0
user_02139,netflix originals,2025-02-06,13,0
user_07633,movies based on true stories,2024-08-27,93,0
user_01306,animated shows,2025-05-11,63,0
user_03213,sci-fi,2025-02-12,1,0
user_04648,christmas movies,2024-05-05,43,0
user_05962,horror movies,2025-06-09,23,0
user_07344,drama series,2024-04-27,94,0
user_00988,netflix originals,2024-03-25,23,0
user_02365,music documentaries,2024-05-12,79,0
user_01701,stand up comedy,2024-12-31,4,1
user_06416,netflix originals,2024-05-20,57,0
user_04881,travel documentaries,2025-07-05,74,0
user_08310,war movies,2024-01-07,71,0
user_02988,movies like stranger things,2024-08-14,38,0
user_07814,drama series,2024-02-20,48,1
user_02158,sci-fi,2024-08-29,69,0
user_02179,korean drama,2025-02-20,80,0
user_07315,horror movies,2025-05-13,8,1
user_02568,thriller series,2024-09-23,33,1
user_08071,superhero movies,2024-04-17,86,0
